manufacturer,name,chip,released,bus,memory,clock,memory_clock,shaders,tmus,rops
AMD,Radeon HD 6570M,Whistler,2011-04-25,MXM-A (3.0),"1024 MB, GDDR3, 128 bit",600 MHz,800 MHz,480,24,16
AMD,Radeon HD 6610M,Whistler,2011-01-04,PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",450 MHz,800 MHz,480,24,8
AMD,Radeon HD 6620G IGP,Sumo,2011-12-07,IGP,System Shared,444 MHz,System Shared,400,20,8
AMD,Radeon HD 6625M,Whistler,2011-01-04,PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",450 MHz,800 MHz,480,24,8
AMD,Radeon HD 6630M,Whistler,2011-01-04,PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",500 MHz,800 MHz,480,24,8
AMD,Radeon HD 6630M Mac Edition,Whistler,2011-01-04,PCIe 2.0 x16,"256 MB, GDDR5, 64 bit",500 MHz,600 MHz,480,24,8
AMD,Radeon HD 6650A,Onega,2011-04-19,MXM-A (3.0),"1024 MB, DDR3, 128 bit",600 MHz,900 MHz,480,24,8
AMD,Radeon HD 6650M,Whistler,2011-01-04,PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",600 MHz,800 MHz,480,24,8
AMD,Radeon HD 6670,Turks,2011-04-19,PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1000 MHz,480,24,8
AMD,Radeon HD 6670A,Turks,2011-04-19,MXM-A (3.0),"1024 MB, GDDR5, 128 bit",600 MHz,1000 MHz,480,24,8
AMD,Radeon HD 6730M,Whistler,2011-01-04,MXM-A (3.0),"1024 MB, GDDR3, 128 bit",725 MHz,800 MHz,480,24,8
AMD,Radeon HD 6750,Juniper,2011-01-21,PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",700 MHz,1150 MHz,720,36,16
AMD,Radeon HD 6750M,Whistler,2011-01-04,MXM-A (3.0),"1024 MB, GDDR3, 128 bit",600 MHz,800 MHz,480,24,8
AMD,Radeon HD 6750M Mac Edition,Whistler,2011-04-18,MXM-A (3.0),"512 MB, GDDR5, 128 bit",598 MHz,794 MHz,480,24,8
AMD,Radeon HD 6770,Juniper,2011-01-21,PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",850 MHz,1200 MHz,800,40,16
AMD,Radeon HD 6770M,Whistler,2011-01-04,MXM-A (3.0),"1024 MB, GDDR5, 128 bit",725 MHz,900 MHz,480,24,8
AMD,Radeon HD 6770M Mac Edition,Whistler,2011-01-28,MXM-A (3.0),"512 MB, GDDR5, 128 bit",725 MHz,900 MHz,480,24,8
AMD,Radeon HD 6790,Barts,2011-04-04,PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",840 MHz,1050 MHz,800,40,16
AMD,Radeon HD 6830M,Granville,2011-01-04,PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",575 MHz,800 MHz,800,40,16
AMD,Radeon HD 6850 X2,Barts,2011-09-19,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",800 MHz,1050 MHz,960,48,32
AMD,Radeon HD 6850M,Granville,2011-01-04,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",675 MHz,800 MHz,800,40,16
AMD,Radeon HD 6870 X2,Barts,2011-07-08,PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",900 MHz,1050 MHz,1120,56,32
AMD,Radeon HD 6870M,Granville,2011-01-04,MXM-B (3.0),"1024 MB, GDDR5, 128 bit",675 MHz,1000 MHz,800,40,16
AMD,Radeon HD 6930,Cayman,2011-12-01,PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",750 MHz,1200 MHz,1280,80,32
AMD,Radeon HD 6950M,Blackcomb,2011-01-04,MXM-B (3.0),"1024 MB, GDDR5, 256 bit",580 MHz,900 MHz,960,48,32
AMD,Radeon HD 6970 X2,Antilles,Never Released,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",880 MHz,1375 MHz,1536,96,32
AMD,Radeon HD 6970M,Blackcomb,2011-01-04,MXM-B (3.0),"1024 MB, GDDR5, 256 bit",680 MHz,900 MHz,960,48,32
AMD,Radeon HD 6970M Mac Edition,Blackcomb,2011-08-25,MXM-B (3.0),"2 GB, GDDR5, 256 bit",680 MHz,900 MHz,960,48,32
AMD,Radeon HD 6970M Rebrand,Broadway,2011-01-04,MXM-B (3.0),"1024 MB, GDDR5, 128 bit",800 MHz,1000 MHz,800,40,16
AMD,Radeon HD 6990,Antilles,2011-03-08,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",830 MHz,1250 MHz,1536,96,32
AMD,Radeon HD 6990M,Blackcomb,2011-07-12,MXM-B (3.0),"2 GB, GDDR5, 256 bit",715 MHz,900 MHz,1120,56,32
AMD,Radeon HD 6990M Rebrand,Broadway,2011-07-12,MXM-B (3.0),"1024 MB, GDDR5, 128 bit",800 MHz,1100 MHz,800,40,16
AMD,Radeon HD 7690M,Thames,2011-12-25,MXM-A (3.0),"1024 MB, DDR3, 128 bit",725 MHz,900 MHz,480,24,16
AMD,Radeon HD 7970,Tahiti,2011-12-22,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",925 MHz,1375 MHz,2048,128,32
AMD,FirePro A300,Trinity GL,2012-06-06,PCIe 2.0 x16,System Shared,760 MHz,System Shared,384,24,8
AMD,FirePro A320,Trinity GL,2012-06-06,PCIe 2.0 x16,System Shared,800 MHz,System Shared,384,24,8
AMD,FirePro M2000,Turks,2012-07-01,PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",500 MHz,800 MHz,480,24,8
AMD,FirePro M4000,Chelsea,2012-06-27,MXM-A (3.0),"1024 MB, GDDR5, 128 bit",675 MHz,1000 MHz,512,32,16
AMD,FirePro M6000,Heathrow,2012-07-01,MXM-B (3.0),"2 GB, GDDR5, 128 bit",800 MHz,1000 MHz,640,40,16
AMD,FirePro S10000,Tahiti,2012-11-12,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",825 MHz,1250 MHz,1792,112,32
AMD,FirePro S10000 Passive,Tahiti,2012-11-12,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",825 MHz,1250 MHz,1792,112,32
AMD,FirePro S7000,Pitcairn,2012-08-27,PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",950 MHz,1200 MHz,1280,80,32
AMD,FirePro S9000,Tahiti,2012-08-24,PCIe 3.0 x16,"6 GB, GDDR5, 384 bit",900 MHz,1375 MHz,1792,112,32
AMD,FirePro S9010,Tahiti,2012-08-24,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",800 MHz,1250 MHz,1792,112,32
AMD,FirePro V3900,Turks,2012-02-07,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,900 MHz,480,24,8
AMD,FirePro W4000,Pitcairn,2012-08-07,PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",825 MHz,800 MHz,768,48,32
AMD,FirePro W5000,Pitcairn,2012-08-07,PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",825 MHz,800 MHz,768,48,32
AMD,FirePro W600,Cape Verde,2012-06-13,PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",750 MHz,1000 MHz,512,32,16
AMD,FirePro W7000,Pitcairn,2012-06-13,PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",950 MHz,1200 MHz,1280,80,32
AMD,FirePro W8000,Tahiti,2012-06-14,PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",900 MHz,1375 MHz,1792,112,32
AMD,FirePro W9000,Tahiti,2012-06-14,PCIe 3.0 x16,"6 GB, GDDR5, 384 bit",975 MHz,1375 MHz,2048,128,32
AMD,Radeon HD 6250 IGP,Loveland,2012-10-09,IGP,System Shared,276 MHz,System Shared,80,8,4
AMD,Radeon HD 6250 IGP,Loveland,2012-04-04,IGP,System Shared,400 MHz,System Shared,80,8,4
AMD,Radeon HD 6850 1440SP Edition,Cypress,2012-08-21,PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",725 MHz,1000 MHz,1440,72,32
AMD,Radeon HD 7290 IGP,Loveland,2012-06-06,IGP,System Shared,400 MHz,System Shared,80,8,4
AMD,Radeon HD 7310 IGP,Loveland,2012-06-06,IGP,System Shared,500 MHz,System Shared,80,8,4
AMD,Radeon HD 7330M,Robson,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",500 MHz,800 MHz,80,8,4
AMD,Radeon HD 7340 IGP,Loveland,2012-06-06,IGP,System Shared,523 MHz,System Shared,80,8,4
AMD,Radeon HD 7350 OEM,Cedar,2012-01-05,PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,800 MHz,80,8,4
AMD,Radeon HD 7350 OEM PCI,Cedar,2012-01-05,PCI,"512 MB, GDDR3, 64 bit",650 MHz,500 MHz,80,8,4
AMD,Radeon HD 7350M,Robson,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",500 MHz,900 MHz,80,8,4
AMD,Radeon HD 7370M,Robson,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",750 MHz,800 MHz,80,8,4
AMD,Radeon HD 7400G IGP,Scrapper,2012-10-02,IGP,System Shared,327 MHz,System Shared,192,12,4
AMD,Radeon HD 7420G IGP,Scrapper Lite,2012-06-06,IGP,System Shared,480 MHz,System Shared,128,8,4
AMD,Radeon HD 7430M,Seymour,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",600 MHz,800 MHz,160,8,4
AMD,Radeon HD 7450 OEM,Caicos,2012-01-05,PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,533 MHz,160,8,4
AMD,Radeon HD 7450A,Caicos,2012-01-05,MXM-A (3.0),"512 MB, GDDR3, 64 bit",625 MHz,800 MHz,160,8,4
AMD,Radeon HD 7450M,Seymour,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",700 MHz,900 MHz,160,8,4
AMD,Radeon HD 7470 OEM,Caicos,2012-01-05,PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",750 MHz,900 MHz,160,8,4
AMD,Radeon HD 7470A,Caicos,2012-01-05,MXM-A (3.0),"512 MB, GDDR3, 64 bit",625 MHz,800 MHz,160,8,4
AMD,Radeon HD 7470A,Redwood,2012-01-05,MXM-A (3.0),"1024 MB, DDR3, 64 bit",775 MHz,800 MHz,400,20,8
AMD,Radeon HD 7470M,Seymour,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",750 MHz,900 MHz,160,8,4
AMD,Radeon HD 7480D IGP,Scrapper Lite,2012-10-02,IGP,System Shared,723 MHz,System Shared,128,8,4
AMD,Radeon HD 7490M,Seymour,2012-01-07,PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",800 MHz,950 MHz,160,8,4
AMD,Radeon HD 7500G IGP,Devastator Lite,2012-05-15,IGP,System Shared,327 MHz,System Shared,256,16,8
AMD,Radeon HD 7510M,Thames,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",450 MHz,800 MHz,400,20,8
AMD,Radeon HD 7520G IGP,Scrapper,2012-06-06,IGP,System Shared,496 MHz,System Shared,192,12,4
AMD,Radeon HD 7530M,Thames,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",450 MHz,900 MHz,400,24,8
AMD,Radeon HD 7540D IGP,Scrapper,2012-10-02,IGP,System Shared,760 MHz,System Shared,192,12,4
AMD,Radeon HD 7550M,Thames,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",450 MHz,900 MHz,400,20,8
AMD,Radeon HD 7550M,Thames,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",500 MHz,900 MHz,480,24,16
AMD,Radeon HD 7560D IGP,Devastator Lite,2012-10-02,IGP,System Shared,760 MHz,System Shared,256,16,8
AMD,Radeon HD 7560G IGP,Devastator Lite,2012-05-15,IGP,System Shared,496 MHz,System Shared,256,16,8
AMD,Radeon HD 7570,Turks,2012-01-05,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480,24,8
AMD,Radeon HD 7570M,Thames,2012-01-07,PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",500 MHz,800 MHz,480,24,16
AMD,Radeon HD 7590M,Thames,2012-01-07,PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",600 MHz,800 MHz,480,24,8
AMD,Radeon HD 7600G IGP,Devastator,2012-09-01,IGP,System Shared,320 MHz,System Shared,384,24,8
AMD,Radeon HD 7610M,Whistler,2012-01-07,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",450 MHz,800 MHz,400,20,8
AMD,Radeon HD 7620G IGP,Devastator,2012-05-15,IGP,System Shared,360 MHz,System Shared,384,24,8
AMD,Radeon HD 7630M,Thames,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",450 MHz,800 MHz,480,24,8
AMD,Radeon HD 7640G IGP,Devastator Lite,2012-05-15,IGP,System Shared,496 MHz,System Shared,256,16,8
AMD,Radeon HD 7650A,Onega,2012-01-05,MXM-A (3.0),"1024 MB, DDR3, 128 bit",600 MHz,900 MHz,480,24,8
AMD,Radeon HD 7650M,Thames,2012-01-07,PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",450 MHz,800 MHz,480,24,16
AMD,Radeon HD 7650M Rebrand,Whistler,2012-03-28,PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",485 MHz,800 MHz,480,24,8
AMD,Radeon HD 7660D IGP,Devastator,2012-10-02,IGP,System Shared,800 MHz,System Shared,384,24,8
AMD,Radeon HD 7660G IGP,Devastator,2012-05-15,IGP,System Shared,686 MHz,System Shared,384,24,8
AMD,Radeon HD 7670 OEM,Turks,2012-01-05,PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",800 MHz,1000 MHz,480,24,8
AMD,Radeon HD 7670A,Turks,2012-01-05,MXM-A (3.0),"1024 MB, GDDR5, 128 bit",600 MHz,1000 MHz,480,24,8
AMD,Radeon HD 7670M,Thames,2012-02-17,PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",600 MHz,900 MHz,480,24,16
AMD,Radeon HD 7670M Rebrand,Whistler,2012-07-01,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",600 MHz,900 MHz,480,24,16
AMD,Radeon HD 7690M Rebrand,Whistler,2012-01-07,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",600 MHz,800 MHz,480,24,8
AMD,Radeon HD 7690M XT Rebrand,Whistler,2012-01-04,PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",725 MHz,800 MHz,480,24,8
AMD,Radeon HD 7730M,Chelsea,2012-04-24,PCIe 2.0 x16,"2 GB, DDR3, 128 bit",575 MHz,900 MHz,512,32,16
AMD,Radeon HD 7750,Cape Verde,2012-02-15,PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,512,32,16
AMD,Radeon HD 7750M,Chelsea,2012-04-24,PCIe 2.0 x16,"2 GB, GDDR5, 128 bit",575 MHz,1000 MHz,512,32,16
AMD,Radeon HD 7770 GHz Edition,Cape Verde,2012-02-15,PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1000 MHz,1125 MHz,640,40,16
AMD,Radeon HD 7770M,Chelsea,2012-04-24,PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",675 MHz,1000 MHz,512,32,16
AMD,Radeon HD 7850,Pitcairn,2012-03-05,PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",860 MHz,1200 MHz,1024,64,32
AMD,Radeon HD 7850M,Heathrow,2012-04-24,PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",675 MHz,1000 MHz,640,40,16
AMD,Radeon HD 7870 GHz Edition,Pitcairn,2012-03-05,PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",1000 MHz,1200 MHz,1280,80,32
AMD,Radeon HD 7870 XT,Tahiti,2012-11-19,PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",925 MHz,1500 MHz,1536,96,32
AMD,Radeon HD 7870M,Heathrow,2012-04-24,PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",800 MHz,1000 MHz,640,40,16
AMD,Radeon HD 7950,Tahiti,2012-01-31,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",800 MHz,1250 MHz,1792,112,32
AMD,Radeon HD 7950 Boost,Tahiti,2012-06-22,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",850 MHz,1250 MHz,1792,112,32
AMD,Radeon HD 7950 Monica BIOS 1,Tahiti,2012-01-31,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",925 MHz,1250 MHz,1536,96,32
AMD,Radeon HD 7950 Monica BIOS 2,Tahiti,2012-01-31,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",800 MHz,1250 MHz,768,48,32
AMD,Radeon HD 7950M,Wimbledon,2012-04-24,MXM-B (3.0),"2 GB, GDDR5, 256 bit",700 MHz,1000 MHz,1280,80,32
AMD,Radeon HD 7970 GHz Edition,Tahiti,2012-06-22,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",1000 MHz,1500 MHz,2048,128,32
AMD,Radeon HD 7970 X2,New Zealand,2012-08-31,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",925 MHz,1375 MHz,2048,128,32
AMD,Radeon HD 7970M,Wimbledon,2012-04-24,MXM-B (3.0),"2 GB, GDDR5, 256 bit",850 MHz,1200 MHz,1280,80,32
AMD,Wii U GPU,Latte,2012-11-18,IGP,"2 GB, DDR3, 64 bit",550 MHz,800 MHz,160,16,8
AMD,FirePro M4100,Mars,2013-10-16,PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",670 MHz,1000 MHz,384,24,8
AMD,FirePro M4150,Opal,2013-10-16,PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",715 MHz,1000 MHz,384,24,8
AMD,FirePro M5100,Venus,2013-10-16,MXM-A (3.0),"2 GB, GDDR5, 128 bit",725 MHz,1125 MHz,640,40,16
